id,ayah_no_quran,surah_no,surah_name_ar,surah_name_en,surah_name_roman,ayah_no_surah,text_ar,text_en_primary,text_en_yusufali,text_en_pickthall,text_en_arberry,juz_no,ruko_no,hizb_quarter,manzil_no,place_of_revelation,sajdah_ayah,no_of_words,topic,subtopic
1,1,1,الفاتحة,The Opener,Al-Fatihah,1,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"In the Name of Allah—the Most Compassionate, Most Merciful.","In the name of God, Most Gracious, Most Merciful.","In the name of Allah, the Beneficent, the Merciful.","In the Name of God, the Merciful, the Compassionate",1,1,1,1,Meccan,FALSE,4,Prayer & Dua,
2,2,1,الفاتحة,The Opener,Al-Fatihah,2,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,"All praise is for Allah—Lord of all worlds,","Praise be to God, the Cherisher and Sustainer of the worlds;","Praise be to Allah, Lord of the Worlds,","Praise belongs to God, the Lord of all Being,",1,1,1,1,Meccan,FALSE,4,Prayer & Dua,
3,3,1,الفاتحة,The Opener,Al-Fatihah,3,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,"the Most Compassionate, Most Merciful,","Most Gracious, Most Merciful;","The Beneficent, the Merciful.","the All-merciful, the All-compassionate,",1,1,1,1,Meccan,FALSE,2,Prayer & Dua,
4,4,1,الفاتحة,The Opener,Al-Fatihah,4,مَٰلِكِ يَوْمِ ٱلدِّينِ,Master of the Day of Judgment.,Master of the Day of Judgment.,"Owner of the Day of Judgment,",the Master of the Day of Doom.,1,1,1,1,Meccan,FALSE,3,Prayer & Dua,
5,5,1,الفاتحة,The Opener,Al-Fatihah,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,You ˹alone˺ we worship and You ˹alone˺ we ask for help.,"Thee do we worship, and Thine aid we seek.",Thee (alone) we worship; Thee (alone) we ask for help,Thee only we serve; to Thee alone we pray for succour.,1,1,1,1,Meccan,FALSE,4,Prayer & Dua,
6,6,1,الفاتحة,The Opener,Al-Fatihah,6,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,"Guide us along the Straight Path,","Show us the straight way,","Show us the straight path,","Guide us in the straight path,",1,1,1,1,Meccan,FALSE,3,Prayer & Dua,
7,7,1,الفاتحة,The Opener,Al-Fatihah,7,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,"the Path of those You have blessed—not those You are displeased with, or those who are astray.","The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",The path of those whom Thou hast favoured; Not the (path) of those who earn Thine anger nor of those who go astray.,"the path of those whom Thou hast blessed, not of those against whom Thou art wrathful, nor of those who are astray.",1,1,1,1,Meccan,FALSE,9,Prayer & Dua,
8,8,2,البقرة,The Cow,Al-Baqarah,1,الٓمٓ,Alif-Lãm-Mĩm.,A.L.M.,Alif. Lam. Mim.,Alif Lam Mim,1,2,1,1,Medinan,FALSE,1,Laws & Jurisprudence,
9,9,2,البقرة,The Cow,Al-Baqarah,2,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًۭى لِّلْمُتَّقِينَ,This is the Book! There is no doubt about it,"This is the Book; in it is guidance sure, without doubt, to those who fear God","This is the Scripture whereof there is no doubt, a guidance unto those who ward off (evil).","That is the Book, wherein is no doubt, a guidance to the godfearing",1,2,1,1,Medinan,FALSE,9,Laws & Jurisprudence,
10,10,2,البقرة,The Cow,Al-Baqarah,3,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,"who believe in the unseen, establish prayer, and donate from what We have provided for them,","Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;","Who believe in the Unseen, and establish worship, and spend of that We have bestowed upon them;","who believe in the Unseen, and perform the prayer, and expend of that We have provided them;",1,2,1,1,Medinan,FALSE,8,Laws & Jurisprudence,
11,11,2,البقرة,The Cow,Al-Baqarah,4,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,"and who believe in what has been revealed to you ˹O Prophet˺ and what was revealed before you, and have sure faith in the Hereafter.","And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.","And who believe in that which is revealed unto thee (Muhammad) and that which was revealed before thee, and are certain of the Hereafter.","who believe in what has been sent down to thee and what has been sent down before thee, and have faith in the Hereafter;",1,2,1,1,Medinan,FALSE,12,Laws & Jurisprudence,
12,12,2,البقرة,The Cow,Al-Baqarah,5,أُو۟لَٰٓئِكَ عَلَىٰ هُدًۭى مِّن رَّبِّهِمْ ۖ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,"It is they who are ˹truly˺ guided by their Lord, and it is they who will be successful.","They are on (true) guidance, from their Lord, and it is these who will prosper.",These depend on guidance from their Lord. These are the successful.,"those are upon guidance from their Lord, those are the ones who prosper.",1,2,1,1,Medinan,FALSE,9,Laws & Jurisprudence,
13,13,2,البقرة,The Cow,Al-Baqarah,6,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,"As for those who persist in disbelief, it is the same whether you warn them or not—they will never believe.","As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe","As for the Disbelievers, Whether thou warn them or thou warn them not it is all one for them; they believe not.","As for the unbelievers, alike it is to them whether thou hast warned them or hast not warned them, they do not believe.",1,2,1,1,Medinan,FALSE,11,Laws & Jurisprudence,
14,14,2,البقرة,The Cow,Al-Baqarah,7,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌۭ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌۭ,"Allah has sealed their hearts and their hearing, and their sight is covered. They will suffer a tremendous punishment.","God hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).","Allah hath sealed their hearing and their hearts, and on their eyes there is a covering. Theirs will be an awful doom.","God has set a seal on their hearts and on their hearing, and on their eyes is a covering, and there awaits them a mighty chastisement.",1,2,1,1,Medinan,FALSE,14,Laws & Jurisprudence,
15,15,2,البقرة,The Cow,Al-Baqarah,8,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,"And there are some who say, “We believe in Allah and the Last Day,” yet they are not ˹true˺ believers.","Of the people there are some who say: ""We believe in God and the Last Day;"" but they do not (really) believe.","And of mankind are some who say: We believe in Allah and the Last Day, when they believe not.","And some men there are who say, ’We believe in God and the Last Day’; but they are not believers.",1,3,1,1,Medinan,FALSE,11,Laws & Jurisprudence,
16,16,2,البقرة,The Cow,Al-Baqarah,9,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,"They seek to deceive Allah and the believers, yet they only deceive themselves, but they fail to perceive it.","Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!","They think to beguile Allah and those who believe, and they beguile none save themselves; but they perceive not.","They would trick God and the believers, and only themselves they deceive, and they are not aware.",1,3,1,1,Medinan,FALSE,10,Laws & Jurisprudence,
